zip,ocd
30165,ocd-division/country:us/state:al/cd:3
30165,ocd-division/country:us/state:al
31905,ocd-division/country:us/state:al/cd:3
31905,ocd-division/country:us/state:al
35004,ocd-division/country:us/state:al/cd:3
35004,ocd-division/country:us/state:al
35005,ocd-division/country:us/state:al/cd:6
35005,ocd-division/country:us/state:al
35005,ocd-division/country:us/state:al/cd:7
35006,ocd-division/country:us/state:al/cd:4
35006,ocd-division/country:us/state:al
35006,ocd-division/country:us/state:al/cd:6
35006,ocd-division/country:us/state:al/cd:7
35007,ocd-division/country:us/state:al/cd:6
35007,ocd-division/country:us/state:al
35010,ocd-division/country:us/state:al/cd:2
35010,ocd-division/country:us/state:al
35010,ocd-division/country:us/state:al/cd:3
35010,ocd-division/country:us/state:al/cd:6
35013,ocd-division/country:us/state:al/cd:6
35013,ocd-division/country:us/state:al
35014,ocd-division/country:us/state:al/cd:3
35014,ocd-division/country:us/state:al
35016,ocd-division/country:us/state:al/cd:4
35016,ocd-division/country:us/state:al
35019,ocd-division/country:us/state:al/cd:4
35019,ocd-division/country:us/state:al
35019,ocd-division/country:us/state:al/cd:5
35020,ocd-division/country:us/state:al/cd:6
35020,ocd-division/country:us/state:al
35020,ocd-division/country:us/state:al/cd:7
35022,ocd-division/country:us/state:al/cd:6
35022,ocd-division/country:us/state:al
35022,ocd-division/country:us/state:al/cd:7
35023,ocd-division/country:us/state:al/cd:6
35023,ocd-division/country:us/state:al
35023,ocd-division/country:us/state:al/cd:7
35031,ocd-division/country:us/state:al/cd:4
35031,ocd-division/country:us/state:al
35031,ocd-division/country:us/state:al/cd:6
35032,ocd-division/country:us/state:al/cd:3
35032,ocd-division/country:us/state:al
35033,ocd-division/country:us/state:al/cd:4
35033,ocd-division/country:us/state:al
35034,ocd-division/country:us/state:al/cd:6
35034,ocd-division/country:us/state:al
35034,ocd-division/country:us/state:al/cd:7
35035,ocd-division/country:us/state:al/cd:6
35035,ocd-division/country:us/state:al
35036,ocd-division/country:us/state:al/cd:6
35036,ocd-division/country:us/state:al
35040,ocd-division/country:us/state:al/cd:6
35040,ocd-division/country:us/state:al
35042,ocd-division/country:us/state:al/cd:6
35042,ocd-division/country:us/state:al
35043,ocd-division/country:us/state:al/cd:6
35043,ocd-division/country:us/state:al
35044,ocd-division/country:us/state:al/cd:3
35044,ocd-division/country:us/state:al
35045,ocd-division/country:us/state:al/cd:6
35045,ocd-division/country:us/state:al
35046,ocd-division/country:us/state:al/cd:6
35046,ocd-division/country:us/state:al
35049,ocd-division/country:us/state:al/cd:6
35049,ocd-division/country:us/state:al
35051,ocd-division/country:us/state:al/cd:6
35051,ocd-division/country:us/state:al
35052,ocd-division/country:us/state:al/cd:3
35052,ocd-division/country:us/state:al
35053,ocd-division/country:us/state:al/cd:4
35053,ocd-division/country:us/state:al
35054,ocd-division/country:us/state:al/cd:3
35054,ocd-division/country:us/state:al
35055,ocd-division/country:us/state:al/cd:4
35055,ocd-division/country:us/state:al
35057,ocd-division/country:us/state:al/cd:4
35057,ocd-division/country:us/state:al
35058,ocd-division/country:us/state:al/cd:4
35058,ocd-division/country:us/state:al
35060,ocd-division/country:us/state:al/cd:6
35060,ocd-division/country:us/state:al
35061,ocd-division/country:us/state:al/cd:6
35061,ocd-division/country:us/state:al
35061,ocd-division/country:us/state:al/cd:7
35062,ocd-division/country:us/state:al/cd:4
35062,ocd-division/country:us/state:al
35062,ocd-division/country:us/state:al/cd:6
35063,ocd-division/country:us/state:al/cd:4
35063,ocd-division/country:us/state:al
35063,ocd-division/country:us/state:al/cd:6
35064,ocd-division/country:us/state:al/cd:7
35064,ocd-division/country:us/state:al
35068,ocd-division/country:us/state:al/cd:6
35068,ocd-division/country:us/state:al
35068,ocd-division/country:us/state:al/cd:7
35070,ocd-division/country:us/state:al/cd:4
35070,ocd-division/country:us/state:al
35071,ocd-division/country:us/state:al/cd:6
35071,ocd-division/country:us/state:al
35072,ocd-division/country:us/state:al/cd:3
35072,ocd-division/country:us/state:al
35072,ocd-division/country:us/state:al/cd:6
35073,ocd-division/country:us/state:al/cd:6
35073,ocd-division/country:us/state:al
35074,ocd-division/country:us/state:al/cd:6
35074,ocd-division/country:us/state:al
35077,ocd-division/country:us/state:al/cd:4
35077,ocd-division/country:us/state:al
35078,ocd-division/country:us/state:al/cd:6
35078,ocd-division/country:us/state:al
35079,ocd-division/country:us/state:al/cd:6
